topic_id,rank,word,score
8,11,tanding,4588.52685402997
8,12,balap,4530.292012358342
8,13,para,4473.23284553712
8,14,pertama,4239.1028264734205
8,15,sama,3941.781484017951
8,16,lalu,3880.65139534747
8,17,belum,3808.2166275888576
8,18,atlet,3777.3919754333715
8,19,bagi,3771.6238752137106
8,20,raih,3655.2492737839893
9,1,sehat,15806.028354653956
9,2,makan,12510.601129512028
9,3,sakit,9856.139759471007
9,4,tubuh,8093.8207347459875
9,5,kulit,7783.620319069551
9,6,darah,6790.850146492661
9,7,alami,6461.153377965578
9,8,baik,5799.975763725269
9,9,dokter,5776.699047993874
9,10,kandung,5708.511366773811
9,11,bantu,5682.012456907262
9,12,laku,5456.776253132328
9,13,konsumsi,5418.0318199488065
9,14,bagi,5404.846488673087
9,15,risiko,5325.109557647074
9,16,tinggi,5274.367279912142
9,17,obat,5260.519573811697
9,18,minum,4681.384726298908
9,19,turun,4634.33218330089
9,20,lain,4545.246754666862
